id,field_id,date,start_time,end_time,status
1,1,2026-05-29,10:00,11:00,AVAILABLE
2,1,2026-05-29,14:00,15:00,RESERVED
3,1,2026-05-29,16:00,17:00,RESERVED
4,2,2026-05-29,18:00,19:00,RESERVED
5,1,2026-05-29,09:00,10:00,RESERVED
6,1,2026-05-29,11:00,12:00,RESERVED
7,1,2026-05-29,18:00,19:00,AVAILABLE
8,2,2026-05-29,09:00,10:00,RESERVED
9,2,2026-05-29,11:00,12:00,AVAILABLE
10,2,2026-05-29,15:00,16:00,RESERVED
11,3,2026-05-29,10:00,11:00,RESERVED
12,3,2026-05-29,12:00,13:00,AVAILABLE
13,3,2026-05-29,17:00,18:00,RESERVED
14,4,2026-05-29,09:00,10:00,AVAILABLE
15,4,2026-05-29,14:00,15:00,RESERVED
16,4,2026-05-29,20:00,21:00,RESERVED
